method,dist,n1,n2,rho1,rho2,fz_nosim,fz
pearson,normal,15,240,0.5,0.8,0.458771288,0.414
pearson,normal,15,240,0.5,0.9,0.876794869,0.858
pearson,normal,15,240,0.6,0,0.648990058,0.681
pearson,normal,15,240,0.6,0.1,0.517349339,0.576
pearson,normal,15,240,0.6,0.2,0.381112831,0.416
pearson,normal,15,240,0.6,0.3,0.253519031,0.252
pearson,normal,15,240,0.6,0.4,0.147050385,0.169
pearson,normal,15,240,0.6,0.5,0.07026247,0.086
pearson,normal,15,240,0.6,0.6,0.025,0.055
pearson,normal,15,240,0.6,0.7,0.085125838,0.077
pearson,normal,15,240,0.6,0.8,0.277711096,0.254
pearson,normal,15,240,0.6,0.9,0.749522444,0.73
pearson,normal,15,240,0.7,0,0.834266609,0.856
pearson,normal,15,240,0.7,0.1,0.736329585,0.755
pearson,normal,15,240,0.7,0.2,0.612564391,0.644
pearson,normal,15,240,0.7,0.3,0.470151772,0.494
pearson,normal,15,240,0.7,0.4,0.322542927,0.338
pearson,normal,15,240,0.7,0.5,0.188005349,0.205
pearson,normal,15,240,0.7,0.6,0.085125838,0.094
pearson,normal,15,240,0.7,0.7,0.025,0.047
pearson,normal,15,240,0.7,0.8,0.119353842,0.096
pearson,normal,15,240,0.7,0.9,0.533638467,0.502
pearson,normal,15,240,0.8,0,0.960190806,0.973
pearson,normal,15,240,0.8,0.1,0.921291354,0.949
pearson,normal,15,240,0.8,0.2,0.857183333,0.893
pearson,normal,15,240,0.8,0.3,0.760170944,0.802
pearson,normal,15,240,0.8,0.4,0.625948321,0.689
pearson,normal,15,240,0.8,0.5,0.458771288,0.475
pearson,normal,15,240,0.8,0.6,0.277711096,0.319
